search v2: odd=True, N_CAP=1.00e+24, DELTA_MAX=1.0e+07, MIN_DEPTH=6
SPF shard: smallest prime factor = 3
P2 sub-shard: second prime factor = 5
P3 sub-sub-shard: third prime factor = 13
CAND 50931245625 7399950 [(3, 1), (5, 4), (13, 1), (17, 1), (19, 1), (6469, 1)]
CAND 50962738125 7394790 [(3, 1), (5, 4), (13, 1), (17, 1), (19, 1), (6473, 1)]
CAND 51025723125 7384470 [(3, 1), (5, 4), (13, 1), (17, 1), (19, 1), (6481, 1)]
CAND 51104454375 7371570 [(3, 1), (5, 4), (13, 1), (17, 1), (19, 1), (6491, 1)]
CAND 51340648125 7332870 [(3, 1), (5, 4), (13, 1), (17, 1), (19, 1), (6521, 1)]
CAND 51403633125 7322550 [(3, 1), (5, 4), (13, 1), (17, 1), (19, 1), (6529, 1)]
CAND 51545349375 7299330 [(3, 1), (5, 4), (13, 1), (17, 1), (19, 1), (6547, 1)]
CAND 51576841875 7294170 [(3, 1), (5, 4), (13, 1), (17, 1), (19, 1), (6551, 1)]
CAND 51592588125 7291590 [(3, 1), (5, 4), (13, 1), (17, 1), (19, 1), (6553, 1)]
CAND 51671319375 7278690 [(3, 1), (5, 4), (13, 1), (17, 1), (19, 1), (6563, 1)]
CAND 51718558125 7270950 [(3, 1), (5, 4), (13, 1), (17, 1), (19, 1), (6569, 1)]
CAND 51734304375 7268370 [(3, 1), (5, 4), (13, 1), (17, 1), (19, 1), (6571, 1)]
CAND 51781543125 7260630 [(3, 1), (5, 4), (13, 1), (17, 1), (19, 1), (6577, 1)]
CAND 51813035625 7255470 [(3, 1), (5, 4), (13, 1), (17, 1), (19, 1), (6581, 1)]
